HUMAN	MOUSE
PPP1R2	Ppp1r2
PPP1R32	Ppp1r32
PPP1R35	Ppp1r35
PPP1R36	Ppp1r36
PPP1R37	Ppp1r37
PPP1R3A	Ppp1r3a
PPP1R3B	Ppp1r3b
PPP1R3C	Ppp1r3c
PPP1R3D	Ppp1r3d
PPP1R3E	Ppp1r3e
PPP1R3F	Ppp1r3f
PPP1R3G	Ppp1r3g
PPP1R42	Ppp1r42
PPP1R7	Ppp1r7
PPP1R8	Ppp1r8
PPP1R9A	Ppp1r9a
PPP1R9B	Ppp1r9b
PPP2CA	Ppp2ca
PPP2CB	Ppp2cb
PPP2R1A	Ppp2r1a
PPP2R1B	Ppp2r1b
PPP2R2A	Ppp2r2a
PPP2R2B	Ppp2r2b
PPP2R2C	Ppp2r2c
PPP2R2D	Ppp2r2d
PPP2R3A	Ppp2r3a
PPP2R3C	Ppp2r3c
PPP2R4	Ppp2r4
PPP2R5A	Ppp2r5a
PPP2R5B	Ppp2r5b
PPP2R5C	Ppp2r5c
PPP2R5D	Ppp2r5d
PPP2R5E	Ppp2r5e
PPP3CA	Ppp3ca
PPP3CB	Ppp3cb
PPP3CC	Ppp3cc
PPP3R1	Ppp3r1
PPP3R2	Ppp3r2
PPP4C	Ppp4c
PPP4R1	Ppp4r1
PPP4R2	Ppp4r2
PPP4R4	Ppp4r4
PPP5C	Ppp5c
PPP6C	Ppp6c
PPP6R1	Ppp6r1
PPP6R2	Ppp6r2
PPP6R3	Ppp6r3
PPRC1	Pprc1
PPT1	Ppt1
PPT2	Ppt2
PPTC7	Pptc7
PPWD1	Ppwd1
PPY	Ppy
PPYR1	Ppyr1
PQBP1	Pqbp1
PQLC1	Pqlc1
PQLC2	Pqlc2
PQLC3	Pqlc3
PRADC1	1700040I03Rik
PRAF2	Praf2
PRAM1	mCT168149
PRAMEF10	4732496O08Rik
PRAMEF12	Pramef6
PRAMEF20	Gm3147
PRAMEF25	Gm13125
PRAMEF2	Gm13102
PRAMEF8	Pramef8
PRAMEL	Pramel
PRAME	mCT118583
PRAP1	Prap1
PRB1	MMT00014721
PRB4	Prp15
PRC1	Prc1
PRCC	Prcc
PRCD	Gm11744
PRCP	Prcp
PRDM10	Prdm10
PRDM11	Prdm11
PRDM12	Prdm12
PRDM13	Prdm13
PRDM14	Prdm14
PRDM15	Prdm15
PRDM16	Prdm16
PRDM1	Prdm1
PRDM2	Prdm2
PRDM4	Prdm4
PRDM5	Prdm5
PRDM6	Prdm6
PRDM8	Prdm8
PRDM9	Prdm9
PRDX1	Prdx1
PRDX2	Prdx2
PRDX3	Prdx3
PRDX4	Prdx4
PRDX5	Prdx5
PRDX6	AI326214
PREB	Preb
PREI3	Prei3
PRELID1	Prelid1
PRELID2	Prelid2
PRELP	Prelp
PREPL	Prepl
PREP	Prep
PREX1	Prex1
PREX2	Prex2
PRF1	Prf1
PRG1	Prg1
PRG2	Prg2
PRG3	Prg3
PRG4	Prg4
PRH1	NM_001004160
PRHOXNB	Prhoxnb
PRIC285	BC006779
PRICKLE1	Prickle1
PRICKLE2	Prickle2
PRICKLE3	Prickle3
PRICKLE4	Prickle4
PRIM1	Prim1
PRIM2A	Prim2
PRIMA1	Prima1
PRKAA1	Prkaa1
PRKAA2	Prkaa2
PRKAB1	Prkab1
PRKAB2	Prkab2
PRKACA	Prkaca
PRKACB	Prkacb
PRKAG1	Prkag1
PRKAG2	Prkag2
PRKAG3	Prkag3
PRKAR1A	Prkar1a
PRKAR1B	Prkar1b
PRKAR2A	Prkar2a
PRKAR2B	Prkar2b
PRKCA	Prkca
PRKCB1	Prkcb1
PRKCBP1	Prkcbp1
PRKCB	Prkcb
PRKCDBP	Prkcdbp
PRKCD	Prkcd
PRKCE	Prkce
PRKCG	Prkcc
PRKCH	Prkch
PRKCI	Prkci
PRKCQ	Prkcq
PRKCSH	Prkcsh
PRKCZ	Prkcz
PRKD1	Prkcm
PRKD2	Prkd2
PRKD3	Prkcn
PRKDC	Prkdc
PRKG1	Prkg1
PRKG2	Prkg2
PRKRA	Prkra
PRKRIP1	Prkrip1
PRKRIR	Prkrir
PRKX	Prkx
PRLH	MMT00044992
PRLHR	Prlhr
PRL	Prl
PRLR	Prlr
PRM1	Prm1
PRM2	Prm2
PRM3	Prm3
PRMT10	Prmt10
PRMT1	Prmt1
PRMT2	Prmt2
PRMT3	Prmt3
PRMT5	Prmt5
PRMT6	Prmt6
PRMT7	Prmt7
PRMT8	Prmt8
PRND	Prnd
PRNPIP	Prnpip1
PRNP	Prnp
PROCA1	Proca1
PROC	Proc
PROCR	Procr
PRODH2	Prodh2
PRODH	Prodh
PROK1	Prok1
PROK2	Prok2
PROKR1	Prokr1
PROKR2	Prokr2
PROL1	MMT00040149
PROM1	Prom1
PROM2	Prom2
PROP1	Prop1
PRORSD1P	Prorsd1
PROS1	Pros1
ProSAPiP1	Prosapip1
PROSC	Prosc
PROSER1	2810046L04Rik
PROX1	Prox1
PROX2	Prox2
PROZ	Proz
PRPF18	Prpf18
PRPF19	Prpf19
PRPF31	Prpf31
PRPF38A	Prpf38a
PRPF38B	Prpf38b
PRPF39	Prpf39
PRPF3	Prpf3
PRPF40A	Prpf40a
PRPF40B	Prpf40b
PRPF4B	Prpf4b
PRPF4	Prpf4
PRPF6	Prpf6
PRPF8	Prpf8
PRPH2	Prph2
PRPH	Prph
PRPS1L1	Prps1l1
PRPS1	Prps1
PRPS2	Prps2
PRPSAP1	Prpsap1
PRPSAP2	Prpsap2
PRR11	Prr11
PRR12	Prr12
PRR13	Prr13
PRR14L	C330019G07Rik
PRR14	Prr14
PRR15L	Prr15l
PRR15	Prr15
PRR16	Prr16
PRR18	Prr18
PRR19	Prr19
PRR22	Prr22
PRR23C	Prr23a
PRR24	Prr24
PRR3	Prr3
PRR5	Arhgap8
PRR5L	Prr5l
PRR5	Prr5
PRR6	Prr6
PRR7	Prr7
PRR8	3200001K10Rik
PRR9	Prr9
PRRC1	Prrc1
PRRC2A	Prrc2a
PRRC2B	Prrc2b
PRRC2C	Prrc2c
PRRG1	2010007L08Rik
PRRG2	Prrg2
PRRG3	Prrg3
PRRG4	Prrg4
PRRT1	Prrt1
PRRT2	1500031I19Rik
PRRT3	Prrt3
PRRT4	Prrt4
PRRX1	Prrx1
PRRX2	Prrx2
PRRXL1	Prrxl1
PRSS12	Prss12
PRSS16	Prss16
PRSS1	Prss1
PRSS21	Prss21
PRSS22	Prss22
PRSS23	Prss23
PRSS27	Prss27
PRSS29P	Prss29
PRSS2	Prss2
PRSS30P	Prss30
PRSS33	Prss33
PRSS35	Prss35
PRSS36	Prss36
PRSS37	Prss37
PRSS38	Prss38
PRSS3	mCT171504
PRSS41	Prss41
PRSS42	Prss42
PRSS43	Prss43
PRSS45	Prss45
PRSS46	Prss46
PRSS47	Prss47
PRSS48	Prss48
PRSS50	Prss50
PRSS53	Prss53
PRSS54	Prss54
PRSS55	Prss55
PRSS56	Prss56
PRSS57	Prss57
PRSS58	Prss58
PRSS7	Prss7
PRSS8	Prss8
PRSSL1	Prssl1
PRTFDC1	MMT00038006
PRTG	Prtg
PRTN3	Prtn3
PRUNE2	Prune2
PRUNE	Prune
PRX	Prx
PSAPL1	Psapl1
PSAP	Psap
PSAT1	Psat1
PSCA	Psca
PSCD1	Pscd1
PSCD2	Pscd2
PSCD3	Pscd3
PSCD4	Pscd4
PSCDBP	Pscdbp
PSD2	Psd2
PSD3	Psd3
PSD4	Psd4
PSD	Psd
PSEN1	Psen1
PSEN2	Psen2
PSENEN	Psenen
PSG4	mCT3269
PSIP1	Psip1
PSKH1	Pskh1
PSMA1	Psma1
PSMA2	Psma2
PSMA3	Psma3
PSMA4	Psma4
PSMA5	Psma5
PSMA6	Psma6
PSMA7	Psma7
PSMA8	Psma8
PSMB10	Psmb10
PSMB11	Psmb11
PSMB1	Psmb1
PSMB2	Psmb2
PSMB3	Psmb3
PSMB4	Psmb4
PSMB5	Psmb5
PSMB6	Psmb6
PSMB7	Psmb7
PSMB8	Psmb8
PSMB9	Psmb9
PSMC1	Psmc1
PSMC2	Psmc2
PSMC3IP	Psmc3ip
PSMC3	Psmc3
PSMC4	Psmc4
PSMC5	Psmc5
PSMC6	Psmc6
PSMD10	Psmd10
PSMD11	Psmd11
PSMD12	Psmd12
PSMD13	Psmd13
PSMD14	Psmd14
PSMD1	Psmd1
PSMD2	Psmd2
PSMD3	Psmd3
PSMD4	Psmd4
PSMD5	Psmd5
PSMD6	Psmd6
PSMD7	Psmd7
PSMD8	Psmd8
PSMD9	Psmd9
PSME1	Psme1
PSME2	Psme2
PSME3	Psme3
PSME4	Psme4
PSMF1	Psmf1
PSMG1	Psmg1
PSMG2	Psmg2
PSMG3	Psmg3
PSMG4	Psmg4
PSORS1C2	Psors1c2
PSPC1	Pspc1
PSPH	Psph
PSPN	Pspn
PSRC1	Psrc1
PSTK	Pstk
PSTPIP1	Pstpip1
PSTPIP2	Pstpip2
PTAFR	Ptafr
PTAR1	Ptar1
PTBP1	Ptbp1
PTBP2	Ptbp2
PTBP3	Rod1
PTCD2	Ptcd2
PTCD3	Ptcd3
PTCH1	Ptch1
PTCH2	Ptch2
PTCHD1	Ptchd1
PTCHD2	Ptchd2
PTCHD3	Ptchd3
PTCHD4	3110082D06Rik
PTCRA	Ptcra
PTDSR	Ptdsr
PTDSS1	Ptdss1
PTDSS2	Ptdss2
PTEN	Pten
PTER	Pter
PTF1A	AK053418
PTGDR2	Gpr44
PTGDR	Ptgdr
PTGDS	Ptgds
PTGER1	Ptger1
PTGER2	Ptger2
PTGER3	Ptger3
PTGER4	Ptger4
PTGES2	Ptges2
PTGES3	Ptges3
PTGES	Ptges
PTGFRN	Ptgfrn
PTGFR	Ptgfr
PTGIR	Ptgir
PTGIS	Ptgis
PTGR1	Ptgr1
PTGR2	Ptgr2
PTGS1	Ptgs1
PTGS2	Ptgs2
PTH1R	Pth1r
PTH2	Pth2
PTH2R	Pth2r
PTHLH	Pthlh
PTH	Pth
PTHR1	Pthr1
PTK2B	Ptk2b
PTK2	Ptk2
PTK6	Ptk6
PTK7	Ptk7
PTK9L	Ptk9l
PTK9	MMT00002888
PTMA	Ptma
PTMS	Ptms
PTN	Ptn
PTOV1	Ptov1
PTP4A1	Ptp4a1
PTP4A2	Ptp4a2
PTP4A3	Ptp4a3
PTPDC1	AW456874
PTPLAD1	Ptplad1
PTPLAD2	Ptplad2
PTPLA	Ptpla
PTPLB	Ptplb
PTPMT1	Ptpmt1
PTPN11	Ptpn11
PTPN12	Ptpn12
PTPN13	Ptpn13
PTPN14	Ptpn14
PTPN18	Ptpn18
PTPN1	Ptpn1
PTPN20B	Ptpn20
PTPN21	Ptpn21
PTPN22	Ptpn22
PTPN23	Ptpn23
PTPN2	Ptpn2
PTPN3	Ptpn3
PTPN4	Ptpn4
PTPN5	Ptpn5
PTPN6	Ptpn6
PTPN7	Ptpn7
PTPN9	Ptpn9
PTPRA	Ptpra
PTPRB	Ptprb
PTPRCAP	Ptprcap
PTPRC	Ptprc
PTPRD	Ptprd
PTPRE	Ptpre
PTPRF	Ptprf
PTPRG	Ptprg
PTPRH	Ptprh
PTPRJ	Ptprj
PTPRK	Ptprk
PTPRM	Ptprm
PTPRN2	Ptprn2
PTPRN	Ptprn
PTPRO	Ptpro
PTPRQ	Ptprq
PTPRR	Ptprr
PTPRS	Ptprs
PTPRT	Ptprt
PTPRU	Ptpru
PTPRVP	Ptprv
PTPRZ1	Ptprz1
PTRF	Ptrf
PTRH1	Ptrh1
PTRH2	Ptrh2
PTRHD1	2410017P09Rik
PTS	Pts
PTTG1IP	Pttg1ip
PTTG1	Pttg1
PTX3	Ptx3
PTX4	Ptx4
PUF60	Puf60
PUM1	Pum1
PUM2	Pum2
PUNC	Punc
PURA	Pura
PURB	Purb
PURG	Purg
PUS10	Pus10
PUS1	Pus1
PUS3	Pus3
PUS7L	Pus7l
PUS7	Pus7
PUSL1	Pusl1
PVALB	Pvalb
PVRIG	EG620147
PVRL1	Pvrl1
PVRL2	Pvrl2
PVRL3	Pvrl3
PVRL4	Pvrl4
PVR	Pvr
PVT1	Pvt1
PWCR1	Snord116
PWP1	Pwp1
PWP2H	Pwp2h
PWP2	Pwp2
PWWP2A	Pwwp2a
PWWP2B	Pwwp2b
PXDC1	1300014I06Rik
PXDN	Pxdn
PXK	Pxk
PXMP2	Pxmp2
PXMP3	Pxmp3
PXMP4	Pxmp4
PXN	Pxn
PXT1	Pxt1
PYCARD	Pycard
PYCR1	Pycr1
PYCR2	Pycr2
PYCRL	Pycrl
PYGB	Pygb
PYGL	Pygl
PYGM	Pygm
PYGO1	Pygo1
PYGO2	Pygo2
PYROXD1	Pyroxd1
PYROXD2	Pyroxd2
PYY	Pyy
PZP	Pzp
QARS	Qars
QDPR	Qdpr
QKI	Qk
QPCTL	Qpctl
QPCT	Qpct
QPRT	Qprt
QRFP	Qrfp
QRFPR	Qrfpr
QRICH1	2610028H07Rik
QRICH2	Qrich2
QRSL1	Qrsl1
QSCN6L1	Qscn6l1
QSCN6	Qscn6
QSER1	Qser1
QSOX1	Qsox1
QSOX2	Qsox2
QTRT1	Qtrt1
QTRTD1	Qtrtd1
R3HCC1L	D19Ertd386e
R3HCC1	R3hcc1
R3HDM1	R3hdm1
R3HDM2	R3hdm2
R3HDM4	C030046I01Rik
R3HDML	MMT00009592
R46311	Gm879
RAB10	Rab10
RAB11A	Rab11a
RAB11B	Rab11b
RAB11FIP1	Rab11fip1
RAB11FIP2	Rab11fip2
RAB11FIP3	Rab11fip3
RAB11FIP4	Rab11fip4
RAB11FIP5	Rab11fip5
RAB12	Rab12
RAB13	Rab13
RAB14	Rab14
RAB15	Rab15
RAB17	Rab17
RAB18	Rab18
RAB19	Rab19
RAB1A	Rab1
RAB1B	Rab1b
RAB20	Rab20
RAB21	Rab21
RAB22A	Rab22a
RAB23	Rab23
RAB24	Rab24
RAB25	Rab25
RAB26	Rab26
RAB27A	Rab27a
RAB27B	Rab27b
RAB28	Rab28
RAB2A	Rab2a
RAB2B	Rab2b
RAB2	Rab2
RAB30	Rab30
RAB31	Rab31
RAB32	Rab32
RAB33A	Rab33a
RAB33B	Rab33b
RAB34	Rab34
RAB35	Rab35
RAB36	Rab36
RAB37	Rab37
RAB38	Rab38
RAB39A	Rab39
RAB39B	Rab39b
RAB39	Rab39
RAB3A	Rab3a
RAB3B	Rab3b
RAB3C	Rab3c
RAB3D	Rab3d
RAB3GAP1	Rab3gap1
RAB3GAP2	Rab3gap2
RAB3IL1	Rab3il1
RAB3IP	Rab3ip
RAB40B	Rab40b
RAB40C	Rab40c
RAB42	Rab42
RAB43	1810048P08Rik
RAB44	Rab44
RAB4A	Rab4a
RAB4B	Rab4b
RAB5A	Rab5a
RAB5B	Rab5b
RAB5C	Rab5c
RAB6A	Rab6
RAB6B	Rab6b
RAB6IP1	Rab6ip1
RAB7A	Rab7
RAB7B	5430435G22Rik
RAB7L1	Rab7l1
RAB7	Rab7
RAB8A	Rab8a
RAB8B	Rab8b
RAB9A	Rab9
RAB9BP1	Rab9b-ps1
RAB9B	Rab9b
RAB9	Rab9
RABAC1	Rabac1
RABEP1	Rabep1
RABEP2	Rabep2
RABEPK	Rabepk
RABGAP1L	Rabgap1l
RABGAP1	Rabgap1
RABGEF1	Rabgef1
RABGGTA	Rabggta
RABGGTB	Rabggtb
RABIF	Rabif
RABL2A	Rabl2
RABL2B	Rabl2a
RABL3	Rabl3
RABL4	Rabl4
RABL5	Rabl5
RABL6	Rabl6
RAC1	Rac1
RAC2	Rac2
RAC3	Rac3
RACGAP1	Racgap1
RAD17	Rad17
RAD18	Rad18
RAD1	Rad1
RAD21L1	Rad21l
RAD21	Rad21
RAD23A	Rad23a
RAD23B	Rad23b
RAD50	Rad50
RAD51AP1	Rad51ap1
RAD51AP2	Rad51ap2
RAD51B	Rad51l1
RAD51C	Rad51c
RAD51D	Rad51l3
RAD51L1	Rad51l1
RAD51L3	Rad51l3
RAD51	Rad51
RAD52	Rad52
RAD54B	E130016E03Rik
RAD54L2	Rad54l2
RAD54L	Rad54l
RAD9A	Rad9
RAD9B	Rad9b
RADIL	Radil
RAE1	Rae1
RAET1E	Raet1e
RAF1	Raf1
RAG1AP1	Rag1ap1
RAG1	Rag1
RAG2	Rag2
RAGE	Rage
RAI14	Rai14
RAI16	Rai16
RAI1	Rai1
RAI2	Rai2
RALA	Rala
RALBP1	Ralbp1
RALB	Ralb
RALGAPA1	Ralgapa1
RALGAPA2	Ralgapa2
RALGAPB	Ralgapb
RALGDS	Ralgds
RALGPS1	Ralgps1
RALGPS2	Ralgps2
RALYL	Ralyl
RALY	Raly
RAMP1	Ramp1
RAMP2	Ramp2
RAMP3	Ramp3
RANBP10	Ranbp10
RANBP17	Ranbp17
RANBP1	Ranbp1
RANBP2	Ranbp2
RANBP3L	Ranbp3l
RANBP3	Ranbp3
RANBP5	Ranbp5
RANBP6	Ranbp6
RANBP9	Ranbp9
RANGAP1	Rangap1
RANGRF	Rangrf
RAN	Ran
RAP1A	Rap1a
RAP1BL	Gm9392
RAP1B	Rap1b
RAP1GAP2	Rap1gap2
RAP1GAP	Rap1gap
RAP1GDS1	Rap1gds1
RAP2A	Rap2a
RAP2B	Rap2b
RAP2C	Rap2c
RAPGEF1	Rapgef1
RAPGEF2	Rapgef2
RAPGEF3	Rapgef3
RAPGEF4	Rapgef4
RAPGEF5	Rapgef5
RAPGEF6	Rapgef6
RAPGEFL1	Rapgefl1
RAPSN	Rapsn
RARA	Rara
RARB	Rarb
RARG	Rarg
RARRES1	Rarres1
RARRES2	Rarres2
RARS2	Rars2
RARSL	Rarsl
RARS	Rars
RASA1	Rasa1
RASA2	Rasa2
RASA3	Rasa3
RASA4	Rasa4
RASAL1	Rasal1
RASAL2	Rasal2
RASAL3	Rasal3
RASD1	Rasd1
RASD2	Rasd2
RASEF	Rasef
RASGEF1A	Rasgef1a
RASGEF1B	Rasgef1b
RASGEF1C	Rasgef1c
RASGRF1	Rasgrf1
RASGRF2	Rasgrf2
RASGRP1	Rasgrp1
RASGRP2	Rasgrp2
RASGRP3	Rasgrp3
RASGRP4	Rasgrp4
RASIP1	Rasip1
RASL10A	Rasl10a
RASL10B	Rasl10b
RASL11A	Rasl11a
RASL11B	Rasl11b
RASL12	Rasl12
RASSF10	Rassf10
RASSF1	Rassf1
RASSF2	Rassf2
RASSF3	Rassf3
RASSF4	Rassf4
RASSF5	Rassf5
RASSF6	Rassf6
RASSF7	Rassf7
RASSF8	Rassf8
RASSF9	Rassf9
RAVER1	Raver1
RAVER2	Raver2
RAX	Rax
RB1CC1	Rb1cc1
RB1	Rb1
RBAK	Rbak
RBBP4	Rbbp4
RBBP5	Rbbp5
RBBP6	Rbbp6
RBBP7	Rbbp7
RBBP8	Rbbp8
RBBP9	Rbbp9
RBCK1	Rbck1
RBED1	Rbed1
RBFA	Rbfa
RBFOX1	Rbfox1
RBFOX2	Rbfox2
RBFOX3	Rbfox3
RBKS	Rbks
RBL1	Rbl1
RBL2	Rbl2
RBM10	Rbm10
RBM11	Rbm11
RBM12B	Rbm12b2
RBM12	Rbm12
RBM13	Rbm13
RBM14	Rbm14
RBM15B	Rbm15b
RBM15	Rbm15
RBM16	Rbm16
RBM17	Rbm17
RBM18	Rbm18
RBM19	Rbm19
RBM20	Rbm20
RBM22	Rbm22
RBM24	MMS010091173
RBM25	2600011C06Rik
RBM26	Rbm26
RBM27	Rbm27
RBM28	Rbm28
RBM33	Rbm33
RBM34	Rbm34
RBM35A	Rbm35a
RBM35B	Rbm35b
RBM38	Rbm38
RBM39	Rbm39
RBM3	Rbm3
RBM41	Rbm41
RBM42	Rbm42
RBM43	Rbm43
RBM44	Rbm44
RBM45	Rbm45
RBM46	Rbm46
RBM47	Rbm47
RBM48	C030048B08Rik
RBM4B	Rbm4b
RBM4	Rbm4
RBM5	Rbm5
RBM6	Rbm6
RBM7	Rbm7
RBM8A	Rbm8a
RBM9	Rbm9
RBMS1	Rbms1
RBMS2	Rbms2
RBMS3	Rbms3
RBMX2	Rbmx2
RBMXL1	Rbmxl1
RBMXL2	Rbmxl2
RBMX	Rbmx
RBMY1A1	Rbmy1a1
RBP1	Rbp1
RBP2	Rbp2
RBP3	Rbp3
RBP4	Rbp4
RBP7	Rbp7
RBPJL	Rbpjl
RBPJ	Rbpj
RBPMS2	Rbpms2
RBPMS	Rbpms
RBPSUHL	Rbpsuhl
RBPSUH	Rbpsuh
RBX1	Rbx1
RC3H1	Rc3h1
RC3H2	Rc3h2
RCAN1	Rcan1
RCAN2	Rcan2
RCAN3	Rcan3
RCBTB1	Rcbtb1
RCBTB2	Rcbtb2
RCC1	Rcc1
RCC2	Rcc2
RCCD1	Rccd1
RCE1	Rce1
RCHY1	Rchy1
RCL1	Rcl1
RCN1	Rcn1
RCN2	Rcn2
RCN3	Rcn3
RCOR1	Rcor1
RCOR2	Rcor2
RCOR3	Rcor3
RCSD1	Rcsd1
RCVRN	Rcvrn
RD3	Rd3
RDBP	Rdbp
RDH10	Rdh10
RDH11	Rdh11
RDH12	Rdh12
RDH13	Rdh13
RDH14	Rdh14
RDH16	Rdh16
RDH5	Rdh5
RDH8	Rdh8
RDM1	Rdm1
RDS	Rds
RDX	Rdx
REC8L1	Rec8L1
REC8	Rec8
RECK	Reck
RECQL4	Recql4
RECQL5	Recql5
RECQL	Recql
REEP1	Reep1
REEP2	Reep2
REEP3	Reep3
REEP4	Reep4
REEP5	Reep5
REEP6	Reep6
REG1A	Reg1
REG1B	Reg2
REG3A	Pap
REG3G	Reg3a
REG4	Reg4
RELA	Rela
RELB	Relb
RELL1	Rell1
RELL2	Rell2
RELN	Reln
REL	Rel
RELT	Relt
REM1	Rem1
REM2	Rem2
RENBP	Renbp
REN	Ren1
REP15	Rep15
REPIN1	Repin1
REPS1	Reps1
REPS2	Reps2
RER1	Rer1
RERE	Rere
RERGL	Rergl
RERG	Rerg
RESP18	Resp18
REST	Rest
RETNLB	Retnlb
RETN	Retn
RET	Ret
RETSAT	Retsat
REV1L	Rev1l
REV1	Rev1
REV3L	Rev3l
REXO1	Rexo1
REXO2	Rexo2
REXO4	Rexo4
RFC1	Rfc1
RFC2	Rfc2
RFC3	Rfc3
RFC4	Rfc4
RFC5	Rfc5
RFESD	Rfesd
RFFL	Rffl
RFK	Rfk
RFNG	Rfng
RFPL4A	Rfpl4
RFT1	Rft1
RFTN1	Rftn1
RFTN2	Rftn2
RFWD2	Rfwd2
RFWD3	Rfwd3
RFX1	Rfx1
RFX2	Rfx2
RFX3	Rfx3
RFX4	Rfx4
RFX5	Rfx5
RFX6	Rfx6
RFX7	Rfx7
RFX8	Rfx8
RFXANK	Rfxank
RFXAP	Rfxap
RFXDC1	Rfxdc1
RG9MTD1	Rg9mtd1
RG9MTD2	Rg9mtd2
RG9MTD3	Rg9mtd3
RGAG1	Rgag1
RGAG4	Rgag4
RGCC	1190002H23Rik
RGL1	Rgl1
RGL2	Rgl2
RGL3	Rgl3
RGMA	Rgma
RGMB	Rgmb
RGNEF	Rgnef
RGN	Rgn
RGP1	Rgp1
RGR	Rgr
RGS10	Rgs10
RGS11	Rgs11
RGS12	Rgs12
RGS13	Rgs13
RGS14	Rgs14
RGS16	Rgs16
RGS17	Rgs17
RGS18	Rgs18
RGS19	Rgs19
RGS1	Rgs1
RGS20	Rgs20
RGS21	MMT00048679
RGS22	Rgs22
RGS2	Rgs2
RGS3	Rgs3
RGS4	Rgs4
RGS5	Rgs5
RGS6	Rgs6
RGS7BP	Rgs7bp
RGS7	Rgs7
RGS8	Rgs8
RGS9BP	Rgs9bp
RGS9	Rgs9
RGSL1	Rgsl1
RGSL2	mCT19432
RHAG	Rhag
RHBDD1	Rhbdd1
RHBDD2	Rhbdd2
RHBDD3	Rhbdd3
RHBDF1	Rhbdf1
RHBDF2	Rhbdf2
RHBDL1	Rhbdl1
RHBDL2	MMT00002427
RHBDL3	Rhbdl3
RHBG	Rhbg
RHCE	Rhd
RHCG	Rhcg
RHD	Rhd
RHEBL1	Rhebl1
RHEB	Rheb
RHOA	Rhoa
RHOB	Rhob
RHOBTB1	Rhobtb1
RHOBTB2	Rhobtb2
RHOBTB3	Rhobtb3
RHOC	Rhoc
RHOD	Rhod
RHOF	Rhof
RHOG	Rhog
RHOH	Rhoh
RHOJ	Rhoj
RHOQ	Rhoq
RHO	Rho
RHOT1	Rhot1
RHOT2	Rhot2
RHOU	Rhou
RHOV	Rhov
RHPN1	Rhpn1
RHPN2	Rhpn2
RIBC1	Ribc1
RIBC2	Ribc2
RIC3	Ric3
RIC8A	Ric8
RIC8B	Ric8b
RICTOR	Rictor
RIF1	Rif1
RIIAD1	Riiad1
RILPL1	Rilpl1
RILPL2	Rilpl2
RILP	Rilp
RIMBP2	Rimbp2
RIMBP3C	Rimbp3
RIMKLA	Rimkla
RIMKLB	Rimklb
RIMS1	Rims1
RIMS2	Rims2
RIMS3	Rims3
RIMS4	Rims4
RIN1	Rin1
RIN2	Rin2
RIN3	Rin3
RING1	Ring1
RINL	Rinl
RINT1	Rint1
RIOK1	Riok1
RIOK2	Riok2
RIOK3	Riok3
RIPK1	Ripk1
RIPK2	Ripk2
RIPK3	Ripk3
RIPK4	Ripk4
RIPK5	Ripk5
RIPPLY1	Ripply1
RIPPLY2	Ripply2
RIT1	Rit1
RIT2	Rit2
RKHD2	Rkhd2
RKHD3	Rkhd3
RLBP1	Rlbp1
RLF	Rlf
RLIM	Rlim
RLN1	Rln1
RLN3	Rln3
RMI1	Rmi1
RMI2	A630055G03Rik
RMND1	Rmnd1
RMND5A	Rmnd5a
RMND5B	Rmnd5b
RMRP	Rmrp
RN5S1@	Rn5s
RN7SK	Rn7sk
RNASE10	Rnase10
RNASE11	Rnase11
RNASE12	Rnase12
RNASE13	Rnase13
RNASE1	Rnase1
RNASE2	Ear11
RNASE3	Ear1
RNASE4	Rnase4
RNASE6	Rnase6
RNASE9	Rnase9
RNASEH1	Rnaseh1
RNASEH2A	Rnaseh2a
RNASEH2B	Rnaseh2b
RNASEH2C	Rnaseh2c
RNASEK	Rnasek
RNASEL	Rnasel
RNASEN	Rnasen
RNASET2	Rnaset2a
RND1	Rnd1
RND2	Rnd2
RND3	Rnd3
RNF103	Rnf103
RNF10	Rnf10
RNF111	Rnf111
RNF112	Rnf112
RNF113A	Rnf113a1
RNF114	Rnf114
RNF115	Rnf115
RNF11	Rnf11
RNF121	Rnf121
RNF122	Rnf122
RNF123	Rnf123
RNF125	Rnf125
RNF126	Rnf126
RNF128	Rnf128
RNF12	Rnf12
RNF130	Rnf130
RNF133	Rnf133
RNF135	Rnf135
RNF138	Rnf138
RNF139	Rnf139
RNF13	Rnf13
RNF141	Rnf141
RNF144A	Rnf144a
RNF144B	Rnf144b
RNF144	Rnf144
RNF145	Rnf145
RNF146	Rnf146
RNF148	Rnf148
RNF149	Rnf149
RNF14	Rnf14
RNF150	Rnf150
RNF151	Rnf151
RNF152	Rnf152
RNF157	Rnf157
RNF165	Gm96
RNF166	Rnf166
RNF167	Rnf167
RNF168	Rnf168
RNF169	2900057K09Rik
RNF170	Rnf170
RNF175	MMT00048370
RNF17	Rnf17
RNF180	Rnf180
RNF181	Rnf181
RNF182	Rnf182
RNF183	Rnf183
RNF185	Rnf185
RNF186	Rnf186
RNF187	Rnf187
RNF190	Rnf190
RNF19A	Rnf19a
RNF19B	Rnf19b
RNF19	Rnf19
RNF207	Rnf207
RNF208	Rnf208
RNF20	Rnf20
RNF212	Rnf212
RNF213	Rnf213
RNF214	Rnf214
RNF215	Rnf215
RNF216	Rnf216
RNF217	Rnf217
RNF219	Rnf219
RNF220	Rnf220
RNF222	Rnf222
RNF223	9930005F22Rik
RNF224	Gm757
RNF24	Rnf24
